ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,home_team,home_score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_off_rtg,away_def_rtg,away_team,away_score,date,total_game_score,line,away_line,over_under
0.553,0.5,0.49,0.38,43.1,75.9,60,51.2,6.3,11.1,14.6,116.8,108.7,brk,129,0.53,0.5,0.476,0.223,24.1,56.9,40,54.5,9.1,11.8,11.7,108.7,116.8,bos,120,20200303,249,-107,-103,219.5
0.58,0.556,0.563,0.15,20,71.1,47.1,63.9,8.5,12.1,17.4,105.1,99.8,uta,99,0.461,0.426,0.383,0.191,28.9,80,52.9,54.3,6.4,17.1,10.5,99.8,105.1,bos,94,20200306,193,-102,-108,219
0.559,0.506,0.316,0.43,10.3,76.1,45.9,45.7,8.9,12.7,14.6,103.7,102.7,okc,105,0.518,0.484,0.402,0.207,23.9,89.7,54.1,57.9,8.9,9.3,11.5,102.7,103.7,bos,104,20200308,209,-102,-108,218
0.639,0.606,0.467,0.178,23.1,81.3,49.3,68.9,8.2,10.6,11,127.3,131.4,por,124,0.696,0.662,0.39,0.442,18.8,76.9,50.7,57.1,9.2,12.5,13.2,131.4,127.3,bos,128,20200802,252,-110,-102,228.5
0.552,0.516,0.337,0.221,15.9,81.8,44.2,51.1,8.2,4.1,14,104.3,135.1,brk,115,0.721,0.682,0.443,0.398,18.2,84.1,55.8,58,9.1,15.9,11.9,135.1,104.3,bos,149,20200805,264,-103,-110,224.5
0.525,0.475,0.461,0.255,22.6,75.5,49.1,58.5,6.4,6.5,10.3,108.5,111.3,orl,119,0.542,0.5,0.392,0.235,24.5,77.4,50.9,71.1,8.2,12.7,9.6,111.3,108.5,bos,122,20200809,241,-113,101,222
0.487,0.443,0.295,0.273,32.1,74.5,52.3,64.7,11.3,11.3,15.4,98.9,92.7,was,96,0.478,0.443,0.398,0.159,25.5,67.9,47.7,62.9,8.2,11.3,16,92.7,98.9,bos,90,20200813,186,-104,-108,225.5
0.443,0.406,0.289,0.378,16.7,72.1,39.8,54.5,3.9,3.6,8.7,91.4,105.2,bos,93,0.531,0.476,0.341,0.424,27.9,83.3,60.2,64.9,5.9,10.9,12.9,105.2,91.4,phi,107,20191023,200,100,-111,215.5
0.509,0.457,0.432,0.346,13,63.6,37.8,37.5,12.2,9,18.4,89.4,110.1,min,95,0.561,0.516,0.272,0.304,36.4,87,62.2,55.8,13.2,13,17.4,110.1,89.4,phi,117,20191030,212,-101,-109,222
0.566,0.536,0.393,0.262,13.3,71.4,38.8,57.9,9.1,1.8,12.2,107.1,115.1,cho,106,0.626,0.607,0.333,0.19,28.6,86.7,61.3,63,9.1,9.8,18,115.1,107.1,phi,114,20191110,220,-104,-106,213.5
0.512,0.471,0.244,0.233,20.5,76.6,49.5,34.2,10.4,0,12.1,100.8,101.9,cle,97,0.517,0.494,0.427,0.146,23.4,79.5,50.5,60,8.3,12.3,12.9,101.9,100.8,phi,98,20191112,195,-101,-109,220
0.574,0.554,0.298,0.179,17.1,77.8,48.8,42.5,8.3,10.5,13.4,107.5,112.7,nyk,104,0.543,0.511,0.36,0.292,22.2,82.9,51.2,76.9,5.2,8.5,9.1,112.7,107.5,phi,109,20191120,213,-104,-106,210
0.565,0.541,0.212,0.188,7.3,69,38.6,48.8,6.1,4.8,10.7,105.9,117.1,sas,104,0.591,0.573,0.292,0.213,31,92.7,61.4,69.6,8.1,6,13.3,117.1,105.9,phi,115,20191122,219,-108,-102,220
0.495,0.44,0.32,0.36,20,78.4,46.3,40,6.4,7.4,16.4,91.7,120.5,mia,86,0.624,0.59,0.349,0.205,21.6,80,53.7,66.7,11.7,3.9,13.4,120.5,91.7,phi,113,20191123,199,-106,-104,210
0.46,0.458,0.358,0.095,16,82.9,46.2,56.4,9.2,5.9,10,92.8,98.9,sac,91,0.554,0.5,0.338,0.312,17.1,84,53.8,55.6,8.2,16.4,16.3,98.9,92.8,phi,97,20191127,188,-107,-103,210
0.667,0.625,0.289,0.329,9.7,87.5,49.2,52.4,7,5.6,17.9,116.2,119.2,ind,116,0.641,0.565,0.299,0.468,12.5,90.3,50.8,71.1,12,9.3,11.4,119.2,116.2,phi,119,20191130,235,-100,-110,207.5
0.523,0.5,0.272,0.247,11.4,82.2,47.2,60.5,5.8,12.3,17.5,91,99.7,uta,94,0.509,0.478,0.286,0.253,17.8,88.6,52.8,64.9,11.6,5.1,12.2,99.7,91,phi,103,20191202,197,-115,104,208.5
0.454,0.422,0.365,0.177,21.2,70.6,40.7,55.6,3.9,0,14.1,92.6,138.9,cle,94,0.704,0.694,0.289,0.256,29.4,78.8,59.3,75.4,12.8,13.1,7.4,138.9,92.6,phi,141,20191207,235,-104,-106,215
0.537,0.494,0.375,0.227,27.7,82.9,51.2,55.3,13.2,8.5,15.7,105.3,111.4,tor,104,0.623,0.595,0.405,0.266,17.1,72.3,48.8,77.5,7.1,9.1,16.9,111.4,105.3,phi,110,20191208,214,-111,101,214
0.51,0.476,0.318,0.141,11.9,73.3,43.7,78.4,12.5,17,12.6,95.7,100.9,den,92,0.505,0.483,0.404,0.18,26.7,88.1,56.3,64.9,9.4,5.2,13.5,100.9,95.7,phi,97,20191210,189,-101,-109,208.5
0.527,0.483,0.273,0.398,24,78.6,48.9,63.2,5.1,3,8,110.3,117.4,nop,109,0.569,0.534,0.23,0.391,21.4,76,51.1,55.8,7.1,12.5,8.1,117.4,110.3,phi,116,20191213,225,-109,-101,222
0.576,0.541,0.365,0.235,29.7,70.6,53.4,65,6.5,7.8,11.3,117.1,112.7,mia,108,0.531,0.489,0.433,0.2,29.4,70.3,46.6,63.2,9.8,9.3,11.7,112.7,117.1,phi,104,20191218,212,-105,-105,208.5
0.631,0.602,0.398,0.265,18.6,78.8,51.6,53.5,10,7.1,14.7,116.8,97.9,dal,117,0.5,0.478,0.378,0.2,21.2,81.4,48.4,65.8,9,4,13.3,97.9,116.8,phi,98,20191220,215,-112,102,211.5
0.524,0.449,0.352,0.386,15.9,66,41.8,50,6.9,4.9,9.7,106,122.7,was,108,0.605,0.596,0.351,0.223,34,84.1,58.2,57.1,6.9,7,11.9,122.7,106,phi,125,20191221,233,-112,102,227
0.553,0.542,0.347,0.084,18.6,73.6,49,51.1,6.1,10.5,9.2,111.1,123.4,mil,109,0.562,0.54,0.436,0.149,26.4,81.4,51,65.9,9.2,11.3,6.1,123.4,111.1,phi,121,20191225,230,-106,-104,221
0.55,0.517,0.326,0.348,29.8,78.6,52.8,42.5,3.1,4.7,10.5,116,123.1,okc,113,0.613,0.583,0.289,0.2,21.4,70.2,47.2,67.4,4.1,0,9.3,123.1,116,phi,120,20200106,233,-110,-100,209.5
0.535,0.511,0.409,0.091,18.6,69.8,44.2,44.7,8.5,1.6,13.3,104.5,116.3,bos,98,0.571,0.551,0.307,0.193,30.2,81.4,55.8,55.8,6.4,9.6,11.2,116.3,104.5,phi,109,20200109,207,-103,-107,218
0.529,0.506,0.287,0.345,23.4,71.7,47.3,52.6,9.1,1.7,11.5,107.8,118.9,brk,106,0.591,0.574,0.341,0.284,28.3,76.6,52.7,55.6,7.1,17.7,10.8,118.9,107.8,phi,117,20200115,223,100,-110,222
0.508,0.481,0.432,0.185,14.6,77.5,45.7,60,8.7,5.7,15.4,97.2,109.2,chi,89,0.576,0.543,0.354,0.134,22.5,85.4,54.3,75,9.8,15.2,11.2,109.2,97.2,phi,100,20200117,189,102,-112,213.5
0.528,0.5,0.408,0.303,15.4,78.4,46.1,65.7,12.2,2.4,19.6,92.2,109.4,lal,91,0.625,0.609,0.474,0.244,21.6,84.6,53.9,46.3,12.2,6.7,19.6,109.4,92.2,phi,108,20200125,199,-105,-105,217.5
0.54,0.511,0.46,0.241,12.5,94.4,47.6,78.4,5.8,6,11.9,101.1,111.8,gsw,104,0.615,0.579,0.39,0.317,5.6,87.5,52.4,66.7,4.9,6.4,13,111.8,101.1,phi,115,20200128,219,-106,-104,215
0.502,0.435,0.226,0.333,18.4,75.6,44.4,65.8,12.2,9.2,11.6,100.2,111.4,mem,107,0.616,0.611,0.278,0.167,24.4,81.6,55.6,70.8,7.5,15.3,17.2,111.4,100.2,phi,119,20200207,226,-100,-110,223.5
0.581,0.557,0.364,0.193,32.6,65.1,48.8,53.5,8.2,5.3,15.9,114.3,121.5,chi,111,0.602,0.565,0.321,0.381,34.9,67.4,51.2,69,12.4,10.7,14,121.5,114.3,phi,118,20200209,229,-114,104,212.5
0.538,0.522,0.344,0.144,11.4,77.1,45.7,62.5,2.1,8.8,8.6,105.6,112.8,lac,103,0.528,0.505,0.284,0.221,22.9,88.6,54.3,56.8,3.1,11.9,5.4,112.8,105.6,phi,110,20200211,213,-105,-105,227.5
0.455,0.402,0.333,0.275,28.8,75.6,50.5,61.1,2.9,1.6,12.3,99.4,107,brk,104,0.552,0.465,0.256,0.407,24.4,71.2,49.5,50,9.6,8.8,11.4,107,99.4,phi,112,20200220,216,-110,-100,214
0.514,0.454,0.392,0.278,26.4,76.9,47.8,47.5,4.9,3.4,10.7,109.2,125.8,atl,112,0.637,0.58,0.341,0.341,23.1,73.6,52.2,60,8.8,8.5,9.8,125.8,109.2,phi,129,20200224,241,-107,-103,227
0.566,0.554,0.277,0.289,21.4,73.2,47,66.7,2.2,5,7.9,117.7,127.6,nyk,106,0.594,0.577,0.341,0.143,26.8,78.6,53,71.1,5.5,11.7,5.8,127.6,117.7,phi,115,20200227,221,-105,-105,210
